Governorate,Total number of cafes,Total number of hotels,Total number of restaurants,Total number of guest houses,Average Tourism Index
Akkar_Governorate,360,8,147,103,2.9791666666666665
Aley_District,65,21,84,35,2.6557377049180326
Baabda_District,291,17,301,22,3.488888888888889
Baalbek,97,21,169,89,2.876923076923077
Batroun_District,40,13,114,46,3.606060606060606
Beqaa_Governorate,22,3,23,4,1.8461538461538463
Bint_Jbeil_District,53,10,44,13,3.0588235294117645
Bsharri_District,38,41,74,31,4.0
Byblos_District,85,24,114,36,2.2388059701492535
Hasbaya_District,47,7,41,9,4.333333333333333
Hermel_District,59,7,77,2,3.111111111111111
Keserwan_District,66,34,151,41,3.2363636363636363
Marjeyoun_District,30,8,42,2,2.7142857142857144
Matn_District,92,36,238,17,2.986111111111111
Miniyeh,114,5,78,7,3.2790697674418605
Mount_Lebanon_Governorate,107,24,163,43,3.0123456790123457
Nabatieh_Governorate,116,8,128,7,4.184210526315789
North_Governorate,41,9,75,16,2.725
Sidon_District,123,4,120,2,3.0
South_Governorate,32,23,57,13,2.5294117647058822
Tripoli_District,113,2,55,5,5.8
Tyre_District,183,9,84,33,2.574074074074074
Western_Beqaa_District,72,12,79,15,4.413793103448276
Zahl,64,14,172,35,4.133333333333334
Zgharta_District,65,23,114,18,3.3157894736842106
